N,P,K,ph,EC,S,Cu,Fe,Mn,Zn,B,label
124,29,105,6.1,0.16,0.281,26.76,247.91,1155.23,21.08,10.35,mulberry
127,11,57,6.4,0.52,0.287,17.75,133.52,912.7,24.84,26.29,mulberry
124,13,106,6.5,0.65,0.278,26.85,273.06,301.1,21.46,27.27,mulberry
164,16,61,6.1,0.62,0.239,25.75,139.58,245.67,28.69,16.19,mulberry
130,19,107,6.3,0.76,0.268,18.79,188.45,1358,25.41,23.14,mulberry
129,21,103,6.4,0.26,0.26,32.53,249.72,596,23.36,13.74,mulberry
133,20,75,6.1,0.74,0.207,18.15,152.96,1354.43,26.35,12.93,mulberry
115,26,75,6.3,0.54,0.241,17.59,134.71,1506.23,26.18,23.59,mulberry
157,10,105,6.3,0.19,0.213,29.23,257.79,1013.28,27.05,20.18,mulberry
152,28,97,6.8,0.62,0.251,23.25,106.45,1009.95,22.28,15.93,mulberry
130,14,69,6.8,0.56,0.273,31.72,143.25,726.91,24.6,11.52,mulberry
152,27,92,6.3,0.35,0.286,18.93,273.27,718.75,29.86,13.83,mulberry
138,20,97,6.3,0.22,0.299,26.6,148.39,942.57,26.14,22.27,mulberry
180,17,62,6,0.44,0.252,27.08,262.68,1347.93,28.38,14.16,mulberry
163,27,83,6.2,0.85,0.233,21.57,116.27,410.47,21.26,16.13,mulberry
115,14,83,6.3,0.51,0.226,16.05,164.17,531.59,27.64,15.49,mulberry
172,18,110,6.2,0.46,0.291,29.7,144.97,1031.92,24.07,13.73,mulberry
139,27,61,6.3,0.75,0.252,16.32,178.81,880.22,27.9,27.37,mulberry
156,17,94,6.4,0.54,0.268,27.01,228.4,1254.57,28.49,10.79,mulberry
151,25,93,6.3,0.11,0.22,25.38,207.95,1279.57,23.44,21.14,mulberry
120,26,79,6.4,0.29,0.202,16.36,267.83,314.9,27.59,20.94,mulberry
176,23,91,6.6,0.45,0.3,30.94,211.77,264.99,23.65,11.58,mulberry
154,20,102,6.2,0.78,0.271,17.85,258.89,935.34,20.25,14.09,mulberry
143,27,90,6.3,0.42,0.235,20.53,135.28,1330.33,20.69,20.24,mulberry
169,16,88,6.3,0.41,0.298,23.09,115.84,564.66,20.51,22.77,mulberry
164,24,86,6.4,0.54,0.287,27.05,115.17,588.85,21.79,16.42,mulberry
161,20,99,6.5,0.74,0.264,24.67,271.79,1567.22,23.35,27.97,mulberry
172,27,56,6.6,0.72,0.201,27.18,169.37,267.37,21.82,22.44,mulberry
165,26,79,6.6,0.81,0.262,19.52,110.36,1468.03,21.24,23.11,mulberry
173,23,73,6.4,0.25,0.233,33.48,105.3,610.06,28.4,21.57,mulberry
124,21,54,6.4,0.81,0.278,31.61,194.06,588.3,22.05,15.04,mulberry
129,17,52,6.5,0.3,0.283,28.32,119.48,706.18,24.14,20.62,mulberry
165,20,88,6.7,0.82,0.298,19.45,131.61,1558.75,29.13,29.83,mulberry
149,12,104,6.3,0.73,0.202,30.73,125.1,544.27,22.3,24.89,mulberry
112,12,85,6,0.6,0.246,16.3,136.57,859.59,29.34,12.29,mulberry
120,16,61,6.4,0.55,0.227,18.59,114.46,1492.46,22.12,10.17,mulberry
166,20,102,6.5,0.12,0.208,32.49,249.36,790.07,21.33,15.69,mulberry
170,12,61,6.1,0.6,0.239,23.64,235.22,1004.84,29.53,16.26,mulberry
139,21,103,6.7,0.84,0.226,27.51,164.9,1264.7,21.71,21.09,mulberry
114,15,97,6.6,0.42,0.261,33.85,256.3,601.33,25.47,21.57,mulberry
158,10,87,6.2,0.61,0.298,19.12,228.47,1564.44,27.39,12.39,mulberry
117,14,108,6,0.68,0.21,26.6,120.62,605.39,26.47,22.11,mulberry
169,17,72,6,0.34,0.23,27.45,228.25,933.09,21.36,23.83,mulberry
155,13,95,6.6,0.36,0.254,25.2,108.79,1485.04,28.75,16.29,mulberry
175,20,76,6.3,0.72,0.264,18.91,259.43,208.4,20.67,22.94,mulberry
171,14,72,6.7,0.57,0.249,27.98,193.44,509.03,20.71,23.39,mulberry
130,21,106,6.8,0.76,0.204,26.43,126.87,293,21.84,15.94,mulberry
125,18,61,6.3,0.1,0.242,22.67,207.36,237.77,21.5,22.76,mulberry
176,27,109,6.5,0.49,0.267,35,274.77,288.27,23.94,27.53,mulberry
160,20,79,6.5,0.33,0.215,31.16,209.31,603.86,28.37,27.17,mulberry
116,21,104,6.2,0.53,0.206,33.71,274.92,855.72,20.37,25.52,mulberry
130,27,83,6,0.83,0.25,19.16,185.26,833.84,23.73,26.74,mulberry
135,11,74,6.3,0.62,0.2,32.39,209.69,549.87,26.02,19.72,mulberry
122,30,97,6.7,0.53,0.292,29.65,246.57,751.3,21.95,23.24,mulberry
110,24,104,6.8,0.12,0.22,26.3,124.34,1170.18,24.98,13.04,mulberry
153,26,73,6.2,0.29,0.212,26.65,112.01,1497.15,22.52,11.5,mulberry
145,28,82,6.8,0.24,0.221,34.92,220.95,991.91,26.67,13.53,mulberry
160,14,56,6.5,0.55,0.297,34.12,250.43,953.57,26.37,27.59,mulberry
173,10,60,6.4,0.27,0.215,22.57,233.12,1298.39,20.8,16.01,mulberry
130,18,106,6.5,0.36,0.222,30.26,143.8,1119.22,21.51,15.06,mulberry
144,23,56,6.5,0.6,0.249,19.31,198.15,516.8,25.33,22.61,mulberry
151,18,107,6.7,0.71,0.291,20.54,160.58,762.24,21.75,26.1,mulberry
124,15,68,6.6,0.1,0.299,22.25,271.14,1058.02,28.32,20.89,mulberry
129,30,88,6.2,0.31,0.236,19.5,106.23,533.07,27.44,18.01,mulberry
166,22,84,6.6,0.83,0.296,25.24,213.23,422.49,28.86,19.01,mulberry
110,26,110,6.1,0.49,0.283,17.4,266.12,606.28,26.87,10.89,mulberry
122,13,97,6.6,0.42,0.265,27.27,271.43,1448.32,24.93,26.38,mulberry
178,23,59,6.4,0.33,0.286,17.22,271.03,477.12,29.39,10.72,mulberry
145,19,82,6.5,0.85,0.289,25.56,146.85,989.65,28.41,16.04,mulberry
132,24,63,6,0.29,0.275,19.96,127.98,1061.27,23.48,29.95,mulberry
136,30,89,6.6,0.9,0.202,33.67,223.04,1532.58,23.43,12.43,mulberry
167,21,90,6.2,0.19,0.262,20.74,129.07,1159.76,21.09,25.58,mulberry
165,17,102,6.4,0.78,0.208,29.62,193.41,984.36,26.02,20.57,mulberry
159,19,61,6.3,0.45,0.205,31.86,169.69,267.64,29.76,16.73,mulberry
157,19,105,6.1,0.3,0.25,27.98,122.54,1572.54,26.48,20.07,mulberry
171,16,71,6.6,0.81,0.27,19.72,252.57,1015.42,21.49,15.03,mulberry
173,30,80,6.6,0.86,0.218,28.56,201.84,1495.87,20.65,26.7,mulberry
173,24,107,6.7,0.51,0.278,27.36,181.24,1157.63,21.98,27.02,mulberry
158,13,84,6.1,0.45,0.254,24.87,267.58,729.6,29.93,13.99,mulberry
145,23,93,6.1,0.61,0.264,22.71,101.95,1383.16,25.16,10.31,mulberry
146,28,56,6.4,0.79,0.221,22.39,116.13,677.57,21.35,11.33,mulberry
131,28,81,6.4,0.11,0.201,26.87,254.4,272.03,25.62,12.87,mulberry
194,76,260,6.2,1.24,0.0123,23.21,49.89,67.56,24.75,8.91,mulberry
142,77,269,7,0.93,0.0123,18.2,126.21,62.11,25.1,8.69,mulberry
102,32,67,5.8,1.56,113.2,0.18,3.81,184.11,37.86,11.32,mulberry
73,34,194,6.2,1.89,89.2,0.29,4.1,117.21,23.34,13.45,mulberry
174,79,300,7.7,1.65,0.0216,12.23,163.19,65.96,18.22,7.49,ragi
147,96,346,6.3,0.85,0.0121,15.11,206.88,60.28,20.08,4.32,ragi
164,96,242,6.2,0.78,0.017,18.33,76.05,55.59,18.42,6.88,ragi
179,86,301,7.7,0.84,0.0205,13.76,248.54,59.01,26.88,8.39,ragi
160,73,359,7.3,1.39,0.0215,24.84,55.53,57.12,24.11,9.13,ragi
125,97,250,7.2,1.37,0.0131,14.72,218.37,69.14,21.56,6.49,ragi
137,95,326,6.3,1.51,0.0147,16.2,225.53,56.78,20.48,1.21,ragi
161,57,287,6,0.96,0.0215,13.27,153.97,62.53,22.03,8.28,ragi
165,72,310,6.8,1.17,0.0191,16.08,220.73,59.09,23.87,3.76,ragi
188,66,320,6,1.62,0.0168,13.2,90.14,57.12,24.69,4.65,ragi
198,67,247,7.7,0.71,0.0193,22.59,172.42,56.4,29.21,3,ragi
121,52,362,5.8,1.46,0.0206,24.55,74.2,58.97,29.62,8.4,ragi
176,58,332,6.5,1.71,0.0216,20.22,225.59,57.02,19.03,4.48,ragi
129,73,252,7.2,1.57,0.0157,12.02,217.22,59.81,27.32,9.44,ragi
148,85,248,6.5,1.48,0.0211,17.63,177.08,57.2,18.67,5.33,ragi
193,78,332,6.3,1.57,0.0126,13.62,101.75,63.84,18.64,8.74,ragi
113,53,333,5.7,1.31,0.0226,10.62,102.41,65.7,27.37,8.99,ragi
116,90,247,7.5,1.78,0.0124,16.91,127.65,68.7,24.56,1.13,ragi
114,87,253,5.7,1.49,0.0164,19.77,154.15,65.04,19.62,3.13,ragi
130,60,254,5.8,1.5,0.0206,15.36,248.97,59.66,29.61,7.38,ragi
122,99,272,6.8,1.18,0.0196,20.97,97.65,60.21,23.04,3.64,ragi
137,94,270,7.4,0.65,0.0236,23.36,74.16,62.42,26.75,2.57,ragi
141,53,277,6.7,0.93,0.0225,20.96,218.05,65.97,18.98,4.91,ragi
176,86,256,6.5,1.23,0.0191,14.66,191.75,61.7,29.62,4.11,ragi
183,54,261,6.1,1.62,0.0139,14.53,194.71,65.55,25.93,5.5,ragi
137,67,345,7,0.7,0.0186,23.45,212.75,68.63,27.84,1.85,ragi
181,72,337,7.2,0.73,0.0183,20.29,226.69,66.77,22.26,9.68,ragi
163,57,233,5.9,1.56,0.0125,13.2,52.5,61.4,19.75,2.9,ragi
179,54,308,6.6,0.99,0.0154,14.37,79.5,59.04,18.27,3.36,ragi
155,56,317,5.8,0.82,0.0236,13.51,157.85,57.33,23.7,4.07,ragi
135,87,242,7.3,1.65,0.0199,23.01,60.41,66.29,25.48,5.12,ragi
151,89,320,6.3,0.62,0.0236,22.83,86.6,57.77,18.28,2,ragi
194,66,326,6.9,1.09,0.019,19.44,156.28,61.62,20.29,8.94,ragi
188,89,273,5.8,0.82,0.0164,24.6,88.36,66.8,23.39,4.09,ragi
148,84,261,7.2,1.36,0.0215,22.92,109.97,67.24,25.68,3.16,ragi
156,79,352,5.8,1.09,0.0188,17.68,89.62,60.98,25.15,1.04,ragi
118,82,304,7.8,0.82,0.0194,10.56,158.91,65.56,21.09,9.53,ragi
173,82,320,6.9,1.54,0.0126,22.74,74.9,59.05,22.71,9.05,ragi
178,81,336,7.4,1.16,0.0218,10.46,156.47,63.01,19.98,5.35,ragi
116,70,268,7.2,1.31,0.0119,13.34,227.48,65.72,27.73,2.96,ragi
157,98,296,7.7,1.5,0.0236,13.12,220.13,64.37,23.75,8.25,ragi
111,75,242,6,0.8,0.0136,13.88,170.66,60.68,28.88,7.11,ragi
162,58,349,6.1,1.22,0.0227,12.32,190.25,58,27.93,3.89,ragi
163,82,320,6.4,1.13,0.0221,22.58,55.97,58.62,25.21,2.6,ragi
113,79,360,8,1.72,0.02,16.68,157.1,65.93,26.47,1.87,ragi
151,68,358,6.4,1.09,0.0178,14.68,209.55,60.36,23.88,1.46,ragi
144,53,289,6.3,1.63,0.0143,14.23,117.81,62,20.57,2.6,ragi
121,81,356,6.9,0.92,0.0234,16.36,182.52,55.68,22.41,3.41,ragi
113,57,234,6.4,1.64,0.0135,18.22,248.47,59.35,27.25,8.97,ragi
140,100,339,5.8,1.13,0.018,11.65,84.42,63.13,19.9,2.11,ragi
197,85,336,6.1,1.01,0.0143,17.45,131.51,60.88,23.52,4.99,ragi
142,83,352,7.7,0.68,0.0179,13.18,149.81,66.01,26.53,7.1,ragi
165,97,293,6.2,1.3,0.0207,13.22,225.61,66.57,19.23,5.83,ragi
161,94,256,7.9,1.18,0.012,12.91,177.02,63.97,24.31,3,ragi
118,57,261,7.4,1.7,0.023,19.88,158.08,55.01,21.98,6.95,ragi
154,90,262,7.8,1.35,0.0193,12.89,126.95,61.14,23.08,5.49,ragi
123,91,289,6.2,1.31,0.0147,13.3,122.74,68.48,21.73,9.23,ragi
148,77,265,6.3,1.74,0.0206,18,98.1,60.79,21.41,4.2,ragi
146,77,368,7,1,0.0207,22.39,247.83,67.95,21.84,3,ragi
179,61,309,5.9,1.24,0.0142,15.23,122.88,69.81,28.33,9.37,ragi
183,82,363,5.9,1.77,0.023,17.01,170.58,66.86,24.53,2.11,ragi
152,81,315,6.8,1.13,0.024,22.66,206.6,61.76,25.88,9.47,ragi
116,69,349,6.6,0.78,0.0233,16.65,112.99,55.5,23.03,4.89,ragi
172,62,288,7.6,1.7,0.0236,18.86,199.8,64.94,26.76,3.22,ragi
149,96,316,7.7,1.38,0.0188,21.02,212.21,62.38,20.62,9.5,ragi
196,84,265,6.6,1.5,0.0137,11.37,130.83,65.16,23.08,4.05,ragi
118,97,369,7,1.03,0.0176,12.3,130.77,64.53,18.57,2.16,ragi
115,53,280,5.8,0.89,0.0176,24.57,105.46,58.04,27.47,7.94,ragi
177,81,323,5.9,0.78,0.019,18.34,56.25,60.94,25.16,3.82,ragi
116,97,240,7.5,1.04,0.0182,15.71,56.74,67.48,21.43,5.05,ragi
198,64,240,7.2,1.13,0.0136,23.03,191.08,66.6,23.87,1.63,ragi
132,94,311,6.5,1.4,0.0198,11.71,62.55,55.62,19.66,7.88,ragi
169,76,338,7.7,1.16,0.0145,11.76,246.66,58.84,23.33,7.57,ragi
191,80,255,6.8,1.49,0.0211,24.67,70.66,66.06,19.81,2.29,ragi
129,52,253,5.6,0.64,0.014,14.42,185.79,55.27,28.82,6.32,ragi
185,70,240,6.6,1.11,0.0235,13.65,137.19,55.45,29.57,3.2,ragi
179,64,274,7.4,0.92,0.0116,14.93,190.83,63.32,28.39,1.02,ragi
117,71,365,5.7,1.7,0.0111,12.21,90.51,57.72,19.18,2.64,ragi
114,70,348,7.3,1.55,0.0157,19.71,76.43,61.82,19.41,3.45,ragi
112,80,245,7.4,0.98,0.0188,15.75,84.14,67.85,27.9,7.23,ragi
124,93,364,7.7,0.78,0.0124,13,158.93,57.67,29.51,1.47,ragi
182,87,350,7.1,1.14,0.0135,23.24,200.22,68.01,27.58,4.11,ragi
167,54,305,6.5,1.71,0.0228,15.13,50.76,62.69,28.7,6.99,ragi
137,91,342,7.1,1.43,0.0145,12.95,78.84,59.28,20.59,9.21,ragi
138,68,300,7.7,1.3,0.0119,22.15,89.11,61.58,25.65,7.95,ragi
175,54,357,7.3,0.94,0.0216,11.02,95.47,67.17,25.32,4.91,ragi
192,50,322,7.4,0.99,0.0122,12.65,214.34,66.39,19.73,2.42,ragi
187,66,263,7.2,1.69,0.0183,12.69,200.34,61.05,20.96,5.15,ragi
196,62,355,6.1,1.67,0.0138,21.04,74.52,58.99,21.86,2.9,ragi
175,74,263,7.6,1.64,0.0187,12.14,209.05,63.51,24.58,5.76,ragi
113,79,239,7.9,0.91,0.0176,13.61,218.11,66.87,18.73,6.04,ragi
136,52,338,7.7,1.73,0.0138,24.32,212.74,64.86,19.94,8.84,ragi
141,71,264,7.9,1.55,0.0176,21.06,243.99,67.77,21.57,6.82,ragi
129,65,320,6.9,0.78,0.0148,22.2,223.94,59.87,22.28,6.98,ragi
144,63,246,5.9,0.76,0.0154,14.83,76.73,61.55,28.61,1.93,ragi
148,97,365,5.8,1.7,0.0145,16.65,138.79,57.07,19.13,1.64,ragi
165,97,264,6.2,1.72,0.021,15.15,221.98,59.52,25.18,7.34,ragi
178,93,343,6.6,1.4,0.021,20.62,223.95,68.08,23.1,1.65,ragi
197,79,259,6.1,1.27,0.0135,23.41,50.07,68.98,24.25,8.89,ragi
141,76,263,7,0.92,0.0129,18.3,127.29,61.66,25.05,8.65,ragi
130,54,131,5.2,2.45,0.08975,16,42.1,91.46,46.83,22.69,ragi
141,33,161,4.9,1.07,0.08812,23,38.8,258.9,34.2,15.48,ragi
132,68,213,5.8,0.56,0.24,10.3,115.21,60.21,55.63,20.6,ragi
169,35,219,5.7,0.14,0.27,16.21,113.99,57.21,32.42,27.62,ragi
103,35,69,5.6,1.47,0.1157,19,38.5,184.24,37.92,11.01,potato
72,32,196,6,1.92,0.08974,29,40.4,116.88,23.33,13.25,potato
177,42,171,5.7,2.23,0.10878,17,39.7,254.08,41.96,16.1,potato
83,31,173,6,2.32,0.10183,14,41.6,147.19,42.6,17.61,potato
165,57,53,5.1,1.61,0.11069,16,41.5,175.07,48.55,19.36,potato
110,16,124,4.9,1.72,0.10427,18,40.8,275.18,38.98,23.54,potato
118,46,191,5.8,1.97,0.1037,27,40.2,68.3,31.18,14.86,potato
34,50,102,5.7,1.44,0.10416,14,39.2,163.83,45.25,18.18,potato
88,25,207,5.1,1.63,0.0973,13,38.7,143.61,23.89,22.18,potato
86,37,181,5,1.92,0.09329,20,38.9,262.73,21.27,22.84,potato
54,77,172,5.2,2.23,0.08453,27,41.8,202.26,36.66,10.49,potato
156,69,231,5.3,2,0.11483,26,38.5,146.77,37.78,24.67,potato
136,52,224,5.1,1.85,0.08001,25,38.5,288.92,29.84,22.19,potato
53,56,87,5.2,1.57,0.1193,16,38.3,169.84,42.55,22.34,potato
114,61,243,5.5,1.41,0.105,15,38.2,80.75,25.98,13.45,potato
53,78,69,5.6,1.58,0.09847,15,39.1,79.58,45.61,10.24,potato
41,36,58,4.7,2.45,0.08768,23,41.5,160.62,33.71,22.71,potato
90,80,87,4.7,1.59,0.09638,14,41.3,154.28,48.37,13.77,potato
57,43,175,4.9,1.86,0.10867,17,39.9,158.33,33.99,19.66,potato
83,75,163,5.1,1.93,0.08625,10,39.2,52.56,34.32,20.3,potato
100,22,155,4.9,1.43,0.10545,13,41.2,102.42,34.35,11.03,potato
87,59,128,5.9,1.59,0.09812,23,39.5,169.13,30.78,12.32,potato
67,80,136,5.3,1.45,0.11092,21,38.9,234.56,30.11,15.83,potato
156,27,189,4.6,1.83,0.08271,17,40.1,233.28,34.51,22.62,potato
167,22,94,5,2.46,0.08211,10,41.2,119.12,30.45,20.02,potato
79,19,131,5.4,2.44,0.08059,25,41.8,67.52,38.84,20.35,potato
87,17,198,5.2,1.92,0.08745,29,38.8,85.32,33.52,14.27,potato
135,65,150,5.3,1.81,0.08478,22,40.9,248.58,33.26,12.74,potato
171,18,158,5.7,1.82,0.09202,22,38.2,97.09,32.59,22.78,potato
116,25,122,5.7,1.79,0.11754,20,40.5,88.69,42.54,11.46,potato
165,46,91,5.1,2.43,0.10672,25,40.4,206.23,36.52,20.77,potato
168,33,167,5.8,2.35,0.08531,13,40.3,286.86,42.73,12.79,potato
156,69,69,5,1.81,0.0823,23,39.9,225.83,48.66,11.87,potato
97,21,57,5.4,1.64,0.09269,24,40,232.68,31.08,21.46,potato
143,79,137,4.8,1.84,0.10582,18,40.4,76.23,43.72,18.23,potato
51,45,127,5.1,1.79,0.08977,24,41.8,56.22,28.17,11.12,potato
116,28,106,5.2,2.04,0.11435,25,41.4,293.13,27.74,10.91,potato
95,20,143,5.3,1.8,0.09994,22,39.9,278.37,29.26,12,potato
115,42,171,5,1.94,0.09436,26,39.1,276.27,34.35,20.15,potato
108,77,118,4.7,2.33,0.10647,23,40,266.48,49.23,13.99,potato
87,32,197,5.3,1.55,0.08509,18,41.7,257.84,24.53,12.28,potato
78,26,185,4.8,2.16,0.11479,10,41.2,241.87,21.28,16.25,potato
37,76,110,5.5,1.83,0.08761,30,38.3,145.36,45.7,23.22,potato
115,18,132,6,2.4,0.0848,10,39.1,119.48,29.88,16.16,potato
149,37,247,4.6,2.41,0.11576,21,39.7,82.56,46.92,21.26,potato
68,69,175,5,2.28,0.10744,19,41.2,238.49,45.59,12.14,potato
178,57,230,5.5,1.87,0.09151,14,38.9,182.5,46.77,20.6,potato
171,53,90,5.7,2.06,0.10464,17,38.6,227.4,43.41,22.2,potato
62,52,133,5,2.48,0.10269,27,40.6,125.68,45.02,21.56,potato
40,34,149,5.1,1.79,0.11971,11,38.5,243.03,47.61,21.97,potato
135,59,206,4.8,1.48,0.10182,27,41.6,73.6,43.84,13.42,potato
157,38,245,4.8,2.4,0.11892,12,39.7,145.39,34.22,10.37,potato
88,59,250,5.8,1.91,0.11188,29,38.4,163.34,42.88,18.93,potato
151,57,106,5.6,1.85,0.10733,13,40.2,248.2,25.99,16.95,potato
34,35,157,5.6,1.8,0.09826,20,41.4,176.33,36.61,10.81,potato
173,28,239,5.8,1.45,0.11664,28,41.2,125.05,49.7,19.36,potato
172,34,170,4.9,1.54,0.11246,27,42,219.32,40.88,17.46,potato
171,35,196,5.7,2,0.10196,14,38.7,139.18,46.7,16.29,potato
131,38,121,5.4,2.47,0.106,16,40.4,117.18,39.27,12.85,potato
113,71,205,5.9,2.11,0.08845,23,39.6,58.08,41.35,11.98,potato
85,75,236,5.5,2.3,0.09317,22,39.1,163.61,36.78,22.72,potato
75,58,134,4.7,1.61,0.09968,21,39.2,62.14,46.98,23.78,potato
52,38,57,5.1,1.96,0.09078,19,38.7,199.95,41.09,16.68,potato
140,62,86,4.6,1.69,0.09467,23,41.4,234.18,34.52,13.19,potato
171,21,250,4.9,2.09,0.08734,22,41.5,62.28,32.98,12.31,potato
140,40,176,4.7,1.43,0.11437,12,39.8,240.96,26.83,19.25,potato
85,24,209,5.4,1.84,0.109,20,41.1,288.09,29.99,23.58,potato
130,42,157,5.7,1.96,0.09443,11,38.4,263.88,26.95,13.98,potato
164,60,145,5.4,1.95,0.11762,13,41,88.58,37.67,13.35,potato
150,15,229,4.6,1.64,0.09545,28,40.1,144.75,35.61,24.12,potato
128,15,239,4.8,2.12,0.10932,30,38.6,235.91,48.79,20.73,potato
34,65,152,5.7,2.47,0.10856,18,38.2,92.62,44.75,15.64,potato
108,33,92,5.5,1.96,0.08523,30,38.8,190.43,43.53,15.09,potato
76,38,197,5,1.7,0.09775,24,41.6,135.63,20.49,10.16,potato
167,67,231,5.1,2.1,0.08822,17,41.2,144.61,41.3,14.69,potato
179,38,71,5.6,2.15,0.11879,19,40.7,204.53,23.33,13.65,potato
155,70,163,5.5,1.55,0.11556,17,41,265.76,21.67,18.43,potato
66,41,167,5.3,2.03,0.09979,26,40.4,252.9,26.52,21.86,potato
55,40,114,5.5,1.46,0.0912,29,41.4,61.39,28.59,24.65,potato
96,59,171,5.6,2.01,0.10492,11,39.5,153.04,45.67,21.14,potato
144,71,138,4.8,1.52,0.09011,16,41.3,165.57,31.69,18.4,potato
33,17,150,5.1,1.78,0.08364,29,41.3,107.18,21.64,19.77,potato
39,19,207,4.7,1.83,0.09684,30,39.3,130.96,31.6,22.6,potato
114,49,164,4.9,2.14,0.1109,13,40.4,215.88,21.66,10.47,potato
81,19,58,5.2,1.96,0.117,27,41.5,56.85,29.2,20.13,potato
30,27,133,5.8,2.07,0.11772,15,41.1,215.94,30.34,16.63,potato
154,28,205,4.8,1.48,0.08026,13,41.2,109.71,46.1,20.16,potato
155,19,113,5.8,2.39,0.08181,22,39,198.72,37.84,13.1,potato
171,57,129,5.6,2.48,0.08908,25,40.2,155.97,25.73,14.77,potato
109,66,195,5.8,1.66,0.10815,27,38.4,254.17,31.97,19.6,potato
151,68,145,5.6,2.08,0.09067,24,41,223.61,43.53,13.72,potato
87,74,136,5.4,1.55,0.0896,29,40.2,219.1,34.91,19.73,potato
139,27,197,5.5,2.07,0.1138,20,38,92.85,23.12,10.85,potato
80,67,116,5.6,2.21,0.08029,15,40.4,75.09,47.71,14.86,potato
102,17,58,5.6,1.78,0.11267,16,38.2,109.1,22.44,22.9,potato
41,23,135,5,1.67,0.10655,26,39.2,206.89,31.09,20.64,potato
49,45,90,5.8,1.98,0.09229,19,40.2,91.12,32.68,14.91,potato
131,24,121,4.9,2.24,0.08775,22,40,94.34,24.93,23.74,potato
131,55,130,5.3,2.48,0.08983,15,41,92.58,45.73,21.48,potato
129,34,160,4.8,1.08,0.08869,25,39,259.93,33.49,14.16,potato
170.0424559,71.01937748,186.0566426,6.064993986,0.225853125,0.250850621,12.08431418,118.3411394,39.52830481,31.21446975,49.53077384,pomegranate
138.9928197,21.00166672,185.0710321,5.946744753,0.455781608,0.280426207,10.18780232,94.0400839,34.29826878,58.40922816,19.41401602,pomegranate
140.0681387,62.87151194,200.9838455,6.772417396,0.861616529,0.191475792,19.92111131,63.88976663,68.9862527,46.35653727,44.51147891,pomegranate
139.922836,38.0007111,208.963059,7.093402558,0.347572891,0.286916217,12.13706853,72.33311149,50.98155663,55.38814505,38.57256451,pomegranate
153.0056271,35.90339171,202.0822346,6.412905987,0.243206213,0.209918562,13.99434575,85.29807303,36.38411807,26.48750377,48.3925949,pomegranate
144.9017196,68.02100454,212.9222257,6.685056922,0.799072215,0.221154336,19.62769456,104.1599854,69.43159502,47.16271221,31.94599829,pomegranate
131.9483779,51.03320927,184.9520282,5.6877183,0.702556146,0.342305277,19.20328238,80.14287401,30.94734753,36.54840142,37.78600239,pomegranate
135.021151,41.05899125,213.9953522,7.114821279,0.294502465,0.173057676,14.1139008,105.3806268,31.72686583,51.65007285,36.68872358,pomegranate
158.0674814,78.9532929,181.9787562,7.061343772,0.300839109,0.211513993,10.73343265,73.95788719,26.72181665,55.37605167,15.69029201,pomegranate
172.009934,64.98002635,211.9713789,6.154558933,0.572904782,0.225413635,12.1337844,82.9309403,44.41969432,20.40127878,22.26658983,pomegranate
167.004201,23.95052637,171.1140405,6.946213379,0.236599286,0.270714691,16.98593986,89.42498668,55.3317297,45.29842041,48.12167623,pomegranate
178.0228762,31.97763053,182.0523858,6.35911903,0.131664511,0.262118339,8.070036199,61.94990566,26.59734416,45.86734064,15.63417884,pomegranate
104.0157072,23.00855571,192.9461934,5.712220192,1.181382538,0.232383819,15.78346952,60.29749065,85.29772443,33.42596905,67.88821001,pomegranate
137.0144064,75.93246196,190.0176349,5.794684395,0.20778166,0.215909081,9.342466847,83.59794709,27.14178467,42.20503964,11.49114759,pomegranate
177.037365,79.04402058,214.105971,6.375894341,0.242715676,0.314202828,5.946533975,98.61293625,64.61828657,44.20443523,10.30083049,pomegranate
141.0330032,35.93359447,190.0683349,7.16915644,0.314553266,0.08986785,18.27346428,109.8487197,68.66603501,56.68330579,44.81285637,pomegranate
150.9541208,69.03236395,207.0451373,5.961148749,0.493494831,0.256830281,16.15560256,113.5344342,22.00090803,31.28768187,19.28045095,pomegranate
135.0396018,40.95341157,213.927621,7.013868701,0.21750006,0.216105447,14.13264641,105.3572967,31.81610193,51.76570773,36.65192795,pomegranate
131.0390533,55.01872383,194.0298438,5.652170797,0.384898975,0.34960104,10.80873764,90.65425414,56.10357844,58.03142168,32.70744909,pomegranate
177.983512,31.96448786,182.0520387,6.353831945,0.076776347,0.20402598,8.082629633,61.92295529,26.60019132,45.87866464,15.68091829,pomegranate
157.0000275,56.96354398,171.9283233,5.615210137,0.502118703,0.265532215,9.885398158,65.26502856,26.59518609,54.55360768,49.55861555,pomegranate
168.0364896,52.01143647,173.9797984,6.875730034,0.604561155,0.188449314,19.9841283,82.50044878,33.72586215,69.06719133,22.0666583,pomegranate
145.9800322,39.09043766,197.0428095,6.995823362,0.556598434,0.163031869,9.431850687,74.00112934,48.14782542,42.10733468,41.06255679,pomegranate
145.0410685,61.0312812,187.0295399,6.681400639,0.797965569,0.266948872,10.91562951,116.1522342,54.45118741,52.29769999,30.79211577,pomegranate
143.0248338,68.9581734,217.0437211,5.812700975,0.535365458,0.248998956,10.18552933,116.252931,59.96792412,54.87017197,21.37214907,pomegranate
137.042633,76.0570825,190.0461777,5.781662463,0.296417419,0.238424199,9.285855847,83.65848407,27.10396888,42.1923853,11.49159366,pomegranate
